Vendedor,Dia da Semana,Data,Vendas,Aberta,Promocao,Feriado Estadual,Feriado Escolar
4,1,2020-12-15,15110,1,1,0,0
5,1,2020-12-15,10870,1,1,0,0
1,7,2020-12-14,0,0,0,0,0
2,7,2020-12-14,0,0,0,0,0
3,7,2020-12-14,0,0,0,0,0
4,7,2020-12-14,0,0,0,0,0
5,7,2020-12-14,0,0,0,0,0
1,6,2020-12-13,7263,1,0,0,0
2,6,2020-12-13,3375,1,0,0,0
3,6,2020-12-13,6621,1,0,0,0
4,6,2020-12-13,11953,1,0,0,0
5,6,2020-12-13,2572,1,0,0,0
1,5,2020-12-12,5269,1,0,0,0
2,5,2020-12-12,4407,1,0,0,0
3,5,2020-12-12,5481,1,0,0,0
4,5,2020-12-12,8403,1,0,0,0
5,5,2020-12-12,5355,1,0,0,0
1,4,2020-12-11,5060,1,0,0,0
2,4,2020-12-11,4629,1,0,0,0
3,4,2020-12-11,6363,1,0,0,0
4,4,2020-12-11,8522,1,0,0,0
5,4,2020-12-11,4929,1,0,0,0
1,3,2020-12-10,4915,1,0,0,0
2,3,2020-12-10,5830,1,0,0,0
3,3,2020-12-10,5256,1,0,0,0
4,3,2020-12-10,8042,1,0,0,0
5,3,2020-12-10,5345,1,0,0,0
1,2,2020-12-09,4345,1,0,0,0
2,2,2020-12-09,5264,1,0,0,0
3,2,2020-12-09,6446,1,0,0,0
4,2,2020-12-09,8426,1,0,0,0
5,2,2020-12-09,5183,1,0,0,0
1,1,2020-12-08,4884,1,0,0,0
2,1,2020-12-08,4821,1,0,0,0
3,1,2020-12-08,5792,1,0,0,0
4,1,2020-12-08,9556,1,0,0,0
5,1,2020-12-08,4989,1,0,0,0
1,7,2020-12-07,0,0,0,0,0
2,7,2020-12-07,0,0,0,0,0
3,7,2020-12-07,0,0,0,0,0
4,7,2020-12-07,0,0,0,0,0
5,7,2020-12-07,0,0,0,0,0
1,6,2020-12-06,6185,1,0,0,0
2,6,2020-12-06,2914,1,0,0,0
3,6,2020-12-06,7669,1,0,0,0
4,6,2020-12-06,11624,1,0,0,0
5,6,2020-12-06,3054,1,0,0,0
1,5,2020-12-05,6207,1,1,0,0
2,5,2020-12-05,6385,1,1,0,0
3,5,2020-12-05,10190,1,1,0,0
4,5,2020-12-05,11831,1,1,0,0
5,5,2020-12-05,7606,1,1,0,0
1,4,2020-12-04,7016,1,1,0,0
2,4,2020-12-04,6661,1,1,0,0
3,4,2020-12-04,8766,1,1,0,0
4,4,2020-12-04,10657,1,1,0,0
5,4,2020-12-04,5792,1,1,0,0
1,3,2020-12-03,6454,1,1,0,0
2,3,2020-12-03,7533,1,1,0,0
3,3,2020-12-03,9694,1,1,0,0
4,3,2020-12-03,11716,1,1,0,0
5,3,2020-12-03,6096,1,1,0,0
1,2,2020-12-02,6467,1,1,0,0
2,2,2020-12-02,7664,1,1,0,0
3,2,2020-12-02,9044,1,1,0,0
4,2,2020-12-02,11114,1,1,0,0
5,2,2020-12-02,7180,1,1,0,0
1,1,2020-12-01,7380,1,1,0,0
2,1,2020-12-01,8674,1,1,0,0
3,1,2020-12-01,10369,1,1,0,0
4,1,2020-12-01,12359,1,1,0,0
5,1,2020-12-01,8580,1,1,0,0
1,7,2020-11-30,0,0,0,0,0
2,7,2020-11-30,0,0,0,0,0
3,7,2020-11-30,0,0,0,0,0
4,7,2020-11-30,0,0,0,0,0
5,7,2020-11-30,0,0,0,0,0
1,6,2020-11-29,7066,1,0,0,0
2,6,2020-11-29,3424,1,0,0,0
3,6,2020-11-29,6702,1,0,0,0
4,6,2020-11-29,14052,1,0,0,0
5,6,2020-11-29,2435,1,0,0,0
1,5,2020-11-28,7195,1,1,0,0
2,5,2020-11-28,6062,1,1,0,0
3,5,2020-11-28,9700,1,1,0,0
4,5,2020-11-28,13832,1,1,0,0
5,5,2020-11-28,6875,1,1,0,0
1,4,2020-11-27,6144,1,1,0,0
2,4,2020-11-27,6119,1,1,0,0
3,4,2020-11-27,8508,1,1,0,0
4,4,2020-11-27,10512,1,1,0,0
5,4,2020-11-27,5670,1,1,0,0
1,3,2020-11-26,5328,1,1,0,0
2,3,2020-11-26,7588,1,1,0,0
3,3,2020-11-26,8397,1,1,0,0
4,3,2020-11-26,10083,1,1,0,0
5,3,2020-11-26,6187,1,1,0,0
1,2,2020-11-25,5815,1,1,0,0
2,2,2020-11-25,6511,1,1,0,0
3,2,2020-11-25,8577,1,1,0,0
4,2,2020-11-25,11402,1,1,0,0
5,2,2020-11-25,6338,1,1,0,0
1,1,2020-11-24,6527,1,1,0,0
2,1,2020-11-24,7038,1,1,0,0
3,1,2020-11-24,8886,1,1,0,0
4,1,2020-11-24,12053,1,1,0,0
5,1,2020-11-24,7528,1,1,0,0
1,7,2020-11-23,0,0,0,0,0
2,7,2020-11-23,0,0,0,0,0
3,7,2020-11-23,0,0,0,0,0
4,7,2020-11-23,0,0,0,0,0
5,7,2020-11-23,0,0,0,0,0
1,6,2020-11-22,5849,1,0,0,0
2,6,2020-11-22,3085,1,0,0,0
3,6,2020-11-22,3989,1,0,0,0
4,6,2020-11-22,10552,1,0,0,0
5,6,2020-11-22,2225,1,0,0,0
1,5,2020-11-21,4594,1,0,0,0
2,5,2020-11-21,3978,1,0,0,0
3,5,2020-11-21,5865,1,0,0,0
4,5,2020-11-21,8319,1,0,0,0
5,5,2020-11-21,4456,1,0,0,0
1,4,2020-11-20,4963,1,0,0,0
2,4,2020-11-20,4527,1,0,0,0
3,4,2020-11-20,6019,1,0,0,0
4,4,2020-11-20,7866,1,0,0,0
5,4,2020-11-20,5291,1,0,0,0
1,3,2020-11-19,3894,1,0,0,0
2,3,2020-11-19,5091,1,0,0,0
3,3,2020-11-19,5490,1,0,0,0
4,3,2020-11-19,7898,1,0,0,0
5,3,2020-11-19,0,0,0,a,0
1,2,2020-11-18,3890,1,0,0,0
2,2,2020-11-18,3468,1,0,0,0
3,2,2020-11-18,5195,1,0,0,0
4,2,2020-11-18,8331,1,0,0,0
5,2,2020-11-18,4530,1,0,0,0
1,1,2020-11-17,3582,1,0,0,0
2,1,2020-11-17,4157,1,0,0,0
3,1,2020-11-17,5935,1,0,0,0
4,1,2020-11-17,9376,1,0,0,0
5,1,2020-11-17,4564,1,0,0,0
1,7,2020-11-16,0,0,0,0,0
2,7,2020-11-16,0,0,0,0,0
3,7,2020-11-16,0,0,0,0,0
4,7,2020-11-16,0,0,0,0,0
5,7,2020-11-16,0,0,0,0,0
1,6,2020-11-15,4967,1,0,0,0
2,6,2020-11-15,2979,1,0,0,0
3,6,2020-11-15,4397,1,0,0,0
4,6,2020-11-15,11185,1,0,0,0
5,6,2020-11-15,2146,1,0,0,0
1,5,2020-11-14,5334,1,1,0,0
2,5,2020-11-14,4655,1,1,0,0
3,5,2020-11-14,7836,1,1,0,0
4,5,2020-11-14,9790,1,1,0,0
5,5,2020-11-14,5199,1,1,0,0
1,4,2020-11-13,3869,1,1,0,0
2,4,2020-11-13,5009,1,1,0,0
3,4,2020-11-13,7560,1,1,0,0
4,4,2020-11-13,10102,1,1,0,0
5,4,2020-11-13,5013,1,1,0,0
1,3,2020-11-12,4677,1,1,0,0
2,3,2020-11-12,6818,1,1,0,0
3,3,2020-11-12,7839,1,1,0,0
4,3,2020-11-12,9340,1,1,0,0
5,3,2020-11-12,5903,1,1,0,0
1,2,2020-11-11,4479,1,1,0,0
2,2,2020-11-11,5651,1,1,0,0
3,2,2020-11-11,8708,1,1,0,0
4,2,2020-11-11,8794,1,1,0,0
5,2,2020-11-11,5736,1,1,0,0
1,1,2020-11-10,5474,1,1,0,0
2,1,2020-11-10,6423,1,1,0,0
3,1,2020-11-10,8533,1,1,0,0
4,1,2020-11-10,10593,1,1,0,0
5,1,2020-11-10,6540,1,1,0,0
1,7,2020-11-09,0,0,0,0,0
2,7,2020-11-09,0,0,0,0,0
3,7,2020-11-09,0,0,0,0,0
4,7,2020-11-09,0,0,0,0,0
5,7,2020-11-09,0,0,0,0,0
1,6,2020-11-08,4720,1,0,0,0
2,6,2020-11-08,3311,1,0,0,0
3,6,2020-11-08,4055,1,0,0,0
4,6,2020-11-08,10208,1,0,0,0
5,6,2020-11-08,2280,1,0,0,0
1,5,2020-11-07,5220,1,1,0,0
2,5,2020-11-07,5445,1,1,0,0
3,5,2020-11-07,8091,1,1,0,0
4,5,2020-11-07,11209,1,1,0,0
5,5,2020-11-07,5284,1,1,0,0
1,4,2020-11-06,4785,1,1,0,0
2,4,2020-11-06,6307,1,1,0,0
3,4,2020-11-06,8072,1,1,0,0
4,4,2020-11-06,9461,1,1,0,0
5,4,2020-11-06,5264,1,1,0,0
1,3,2020-11-05,4838,1,1,0,0
2,3,2020-11-05,7142,1,1,0,0
3,3,2020-11-05,9172,1,1,0,0
4,3,2020-11-05,11232,1,1,0,0
5,3,2020-11-05,5913,1,1,0,0
1,2,2020-11-04,5253,1,1,0,0
2,2,2020-11-04,7015,1,1,0,0
3,2,2020-11-04,9863,1,1,0,0
4,2,2020-11-04,11285,1,1,0,0
5,2,2020-11-04,6836,1,1,0,0
1,1,2020-11-03,5857,1,1,0,0
2,1,2020-11-03,7549,1,1,0,0
3,1,2020-11-03,10855,1,1,0,0
4,1,2020-11-03,13095,1,1,0,0
5,1,2020-11-03,8274,1,1,0,0
1,7,2020-11-02,0,0,0,0,0
2,7,2020-11-02,0,0,0,0,0
3,7,2020-11-02,0,0,0,0,0
4,7,2020-11-02,0,0,0,0,0
5,7,2020-11-02,0,0,0,0,0
1,6,2020-11-01,6532,1,0,0,0
2,6,2020-11-01,3305,1,0,0,0
3,6,2020-11-01,0,0,0,a,0
4,6,2020-11-01,10834,1,0,0,0
5,6,2020-11-01,2817,1,0,0,0
1,5,2020-10-31,4161,1,0,0,1
2,5,2020-10-31,0,0,0,a,0
3,5,2020-10-31,6788,1,0,0,0
4,5,2020-10-31,9839,1,0,0,1
5,5,2020-10-31,0,0,0,a,1
1,4,2020-10-30,4042,1,0,0,1
2,4,2020-10-30,5394,1,0,0,0
3,4,2020-10-30,5357,1,0,0,0
4,4,2020-10-30,9677,1,0,0,1
5,4,2020-10-30,5141,1,0,0,1
1,3,2020-10-29,3761,1,0,0,1
2,3,2020-10-29,4986,1,0,0,0
3,3,2020-10-29,4716,1,0,0,0
4,3,2020-10-29,7810,1,0,0,1
5,3,2020-10-29,3944,1,0,0,1
1,2,2020-10-28,3364,1,0,0,1
2,2,2020-10-28,3849,1,0,0,0
3,2,2020-10-28,4745,1,0,0,0
4,2,2020-10-28,7543,1,0,0,1
5,2,2020-10-28,3504,1,0,0,1
1,1,2020-10-27,4260,1,0,0,1
2,1,2020-10-27,4296,1,0,0,0
3,1,2020-10-27,4848,1,0,0,0
4,1,2020-10-27,9172,1,0,0,1
5,1,2020-10-27,3687,1,0,0,1
1,7,2020-10-26,0,0,0,0,1
2,7,2020-10-26,0,0,0,0,0
3,7,2020-10-26,0,0,0,0,0
4,7,2020-10-26,0,0,0,0,0
5,7,2020-10-26,0,0,0,0,0
1,6,2020-10-25,4596,1,0,0,1
2,6,2020-10-25,2542,1,0,0,0
3,6,2020-10-25,3266,1,0,0,0
4,6,2020-10-25,9414,1,0,0,0
5,6,2020-10-25,1697,1,0,0,0
1,5,2020-10-24,4196,1,1,0,1
2,5,2020-10-24,5096,1,1,0,0
3,5,2020-10-24,6251,1,1,0,0
4,5,2020-10-24,9016,1,1,0,1
5,5,2020-10-24,4878,1,1,0,1
1,4,2020-10-23,4466,1,1,0,1
2,4,2020-10-23,5729,1,1,0,0
3,4,2020-10-23,7177,1,1,0,0
4,4,2020-10-23,9364,1,1,0,1
5,4,2020-10-23,4179,1,1,0,1
1,3,2020-10-22,4868,1,1,0,1
2,3,2020-10-22,5261,1,1,0,0
3,3,2020-10-22,7380,1,1,0,0
4,3,2020-10-22,9547,1,1,0,1
5,3,2020-10-22,4628,1,1,0,1
1,2,2020-10-21,4678,1,1,0,1
2,2,2020-10-21,5382,1,1,0,0
3,2,2020-10-21,6855,1,1,0,0
4,2,2020-10-21,9786,1,1,0,1
5,2,2020-10-21,5310,1,1,0,1
1,1,2020-10-20,4652,1,1,0,1
2,1,2020-10-20,6631,1,1,0,0
3,1,2020-10-20,8266,1,1,0,0
4,1,2020-10-20,11357,1,1,0,1
5,1,2020-10-20,6096,1,1,0,1
1,7,2020-10-19,0,0,0,0,0
2,7,2020-10-19,0,0,0,0,0
3,7,2020-10-19,0,0,0,0,0
4,7,2020-10-19,0,0,0,0,0
5,7,2020-10-19,0,0,0,0,0
1,6,2020-10-18,4169,1,0,0,0
2,6,2020-10-18,2613,1,0,0,0
3,6,2020-10-18,3367,1,0,0,0
4,6,2020-10-18,10166,1,0,0,0
5,6,2020-10-18,2441,1,0,0,0
1,5,2020-10-17,3720,1,0,0,0
2,5,2020-10-17,3852,1,0,0,1
3,5,2020-10-17,5485,1,0,0,1
4,5,2020-10-17,7947,1,0,0,0
5,5,2020-10-17,4499,1,0,0,0
1,4,2020-10-16,3430,1,0,0,0
2,4,2020-10-16,4288,1,0,0,1
3,4,2020-10-16,5271,1,0,0,1
4,4,2020-10-16,8008,1,0,0,0
5,4,2020-10-16,3653,1,0,0,0
1,3,2020-10-15,3775,1,0,0,0
2,3,2020-10-15,4732,1,0,0,1
3,3,2020-10-15,5008,1,0,0,1
4,3,2020-10-15,7843,1,0,0,0
5,3,2020-10-15,4486,1,0,0,0
1,2,2020-10-14,3681,1,0,0,0
2,2,2020-10-14,3982,1,0,0,1
3,2,2020-10-14,5114,1,0,0,1
4,2,2020-10-14,8166,1,0,0,0
5,2,2020-10-14,3640,1,0,0,0
1,1,2020-10-13,4033,1,0,0,0
2,1,2020-10-13,4377,1,0,0,1
3,1,2020-10-13,5035,1,0,0,1
4,1,2020-10-13,8947,1,0,0,0
5,1,2020-10-13,4127,1,0,0,0
1,7,2020-10-12,0,0,0,0,0
2,7,2020-10-12,0,0,0,0,0
3,7,2020-10-12,0,0,0,0,0
4,7,2020-10-12,0,0,0,0,0
5,7,2020-10-12,0,0,0,0,0
1,6,2020-10-11,4743,1,0,0,0
2,6,2020-10-11,2497,1,0,0,0
3,6,2020-10-11,3697,1,0,0,0
4,6,2020-10-11,10048,1,0,0,0
5,6,2020-10-11,1837,1,0,0,0
1,5,2020-10-10,4396,1,1,0,0
2,5,2020-10-10,4907,1,1,0,1
3,5,2020-10-10,7448,1,1,0,1
4,5,2020-10-10,9501,1,1,0,0
5,5,2020-10-10,5138,1,1,0,0
1,4,2020-10-09,4654,1,1,0,0
2,4,2020-10-09,5283,1,1,0,1
3,4,2020-10-09,7206,1,1,0,1
4,4,2020-10-09,8763,1,1,0,0
5,4,2020-10-09,5469,1,1,0,0
1,3,2020-10-08,4944,1,1,0,0
2,3,2020-10-08,6252,1,1,0,1
3,3,2020-10-08,8472,1,1,0,1
4,3,2020-10-08,9189,1,1,0,0
5,3,2020-10-08,5399,1,1,0,0
1,2,2020-10-07,5439,1,1,0,0
2,2,2020-10-07,5808,1,1,0,1
3,2,2020-10-07,7699,1,1,0,1
4,2,2020-10-07,9648,1,1,0,0
5,2,2020-10-07,6693,1,1,0,0
1,1,2020-10-06,5402,1,1,0,0
2,1,2020-10-06,7562,1,1,0,1
3,1,2020-10-06,10598,1,1,0,1
4,1,2020-10-06,10575,1,1,0,0
5,1,2020-10-06,7688,1,1,0,0
1,7,2020-10-05,0,0,0,0,0
2,7,2020-10-05,0,0,0,0,0
3,7,2020-10-05,0,0,0,0,0
4,7,2020-10-05,0,0,0,0,0
5,7,2020-10-05,0,0,0,0,0
1,6,2020-10-04,5355,1,0,0,0
2,6,2020-10-04,2979,1,0,0,0
3,6,2020-10-04,5420,1,0,0,0
4,6,2020-10-04,11694,1,0,0,0
5,6,2020-10-04,2692,1,0,0,0
1,5,2020-10-03,0,0,1,a,0
2,5,2020-10-03,2689,1,1,a,0
3,5,2020-10-03,0,0,1,a,0
4,5,2020-10-03,0,0,1,a,0
5,5,2020-10-03,0,0,1,a,0
1,4,2020-10-02,5400,1,1,0,0
2,4,2020-10-02,4845,1,1,0,0
3,4,2020-10-02,8565,1,1,0,0
4,4,2020-10-02,12297,1,1,0,0
5,4,2020-10-02,5994,1,1,0,0
1,3,2020-10-01,4712,1,1,0,0
2,3,2020-10-01,5565,1,1,0,0
3,3,2020-10-01,8331,1,1,0,0
4,3,2020-10-01,10560,1,1,0,0
5,3,2020-10-01,6384,1,1,0,0
1,2,2020-09-30,4919,1,1,0,0
2,2,2020-09-30,8461,1,1,0,0
3,2,2020-09-30,12260,1,1,0,0
4,2,2020-09-30,12659,1,1,0,0
5,2,2020-09-30,6633,1,1,0,0
1,1,2020-09-29,5280,1,1,0,0
2,1,2020-09-29,7514,1,1,0,0
3,1,2020-09-29,10066,1,1,0,0
4,1,2020-09-29,10201,1,1,0,0
5,1,2020-09-29,6274,1,1,0,0
1,7,2020-09-28,0,0,0,0,0
2,7,2020-09-28,0,0,0,0,0
3,7,2020-09-28,0,0,0,0,0
4,7,2020-09-28,0,0,0,0,0
5,7,2020-09-28,0,0,0,0,0
1,6,2020-09-27,3914,1,0,0,0
2,6,2020-09-27,2725,1,0,0,0
3,6,2020-09-27,3846,1,0,0,0
4,6,2020-09-27,9405,1,0,0,0
5,6,2020-09-27,2000,1,0,0,0
1,5,2020-09-26,3518,1,0,0,0
2,5,2020-09-26,3583,1,0,0,0
3,5,2020-09-26,4853,1,0,0,0
4,5,2020-09-26,6948,1,0,0,0
5,5,2020-09-26,3660,1,0,0,0
1,4,2020-09-25,2462,1,0,0,0
2,4,2020-09-25,3911,1,0,0,0
3,4,2020-09-25,4575,1,0,0,0
4,4,2020-09-25,6629,1,0,0,0
5,4,2020-09-25,3629,1,0,0,0
1,3,2020-09-24,3405,1,0,0,0
2,3,2020-09-24,5084,1,0,0,0
3,3,2020-09-24,4620,1,0,0,0
4,3,2020-09-24,6440,1,0,0,0
5,3,2020-09-24,4265,1,0,0,0
1,2,2020-09-23,3407,1,0,0,0
2,2,2020-09-23,3874,1,0,0,0
3,2,2020-09-23,5026,1,0,0,0
4,2,2020-09-23,7543,1,0,0,0
5,2,2020-09-23,3338,1,0,0,0
1,1,2020-09-22,3982,1,0,0,0
2,1,2020-09-22,4004,1,0,0,0
3,1,2020-09-22,4658,1,0,0,0
4,1,2020-09-22,8184,1,0,0,0
5,1,2020-09-22,4039,1,0,0,0
1,7,2020-09-21,0,0,0,0,0
2,7,2020-09-21,0,0,0,0,0
3,7,2020-09-21,0,0,0,0,0
4,7,2020-09-21,0,0,0,0,0
5,7,2020-09-21,0,0,0,0,0
1,6,2020-09-20,3911,1,0,0,0
2,6,2020-09-20,2473,1,0,0,0
3,6,2020-09-20,3574,1,0,0,0
4,6,2020-09-20,10044,1,0,0,0
5,6,2020-09-20,1946,1,0,0,0
1,5,2020-09-19,4128,1,1,0,0
2,5,2020-09-19,4491,1,1,0,0
3,5,2020-09-19,7729,1,1,0,0
4,5,2020-09-19,8995,1,1,0,0
5,5,2020-09-19,4899,1,1,0,0
1,4,2020-09-18,3740,1,1,0,0
2,4,2020-09-18,4994,1,1,0,0
3,4,2020-09-18,7563,1,1,0,0
4,4,2020-09-18,8958,1,1,0,0
5,4,2020-09-18,5003,1,1,0,0
1,3,2020-09-17,4383,1,1,0,0
2,3,2020-09-17,6469,1,1,0,0
3,3,2020-09-17,8034,1,1,0,0
4,3,2020-09-17,8594,1,1,0,0
5,3,2020-09-17,5685,1,1,0,0
1,2,2020-09-16,4381,1,1,0,0
2,2,2020-09-16,6207,1,1,0,0
3,2,2020-09-16,8607,1,1,0,0
4,2,2020-09-16,9140,1,1,0,0
5,2,2020-09-16,5438,1,1,0,0
1,1,2020-09-15,4611,1,1,0,0
2,1,2020-09-15,6997,1,1,0,0
3,1,2020-09-15,10098,1,1,0,0
4,1,2020-09-15,11450,1,1,0,0
5,1,2020-09-15,7797,1,1,0,0
1,7,2020-09-14,0,0,0,0,0
2,7,2020-09-14,0,0,0,0,0
3,7,2020-09-14,0,0,0,0,0
4,7,2020-09-14,0,0,0,0,0
5,7,2020-09-14,0,0,0,0,0
1,6,2020-09-13,4270,1,0,0,0
2,6,2020-09-13,2593,1,0,0,0
3,6,2020-09-13,3737,1,0,0,0
4,6,2020-09-13,9563,1,0,0,0
5,6,2020-09-13,2107,1,0,0,0
1,5,2020-09-12,3906,1,0,0,0
2,5,2020-09-12,3323,1,0,0,0
3,5,2020-09-12,5665,1,0,0,0
4,5,2020-09-12,7603,1,0,0,0
5,5,2020-09-12,3869,1,0,0,0
1,4,2020-09-11,3392,1,0,0,0
2,4,2020-09-11,4123,1,0,0,0
3,4,2020-09-11,5389,1,0,0,0
4,4,2020-09-11,7924,1,0,0,0
5,4,2020-09-11,4557,1,0,0,0
1,3,2020-09-10,3275,1,0,0,0
2,3,2020-09-10,4865,1,0,0,0
3,3,2020-09-10,5164,1,0,0,0
4,3,2020-09-10,8530,1,0,0,0
5,3,2020-09-10,4305,1,0,0,0
1,2,2020-09-09,3377,1,0,0,0
2,2,2020-09-09,4963,1,0,0,0
3,2,2020-09-09,5978,1,0,0,0
4,2,2020-09-09,8070,1,0,0,0
5,2,2020-09-09,3624,1,0,0,0
1,1,2020-09-08,3676,1,0,0,0
2,1,2020-09-08,4189,1,0,0,0
3,1,2020-09-08,6061,1,0,0,0
4,1,2020-09-08,8995,1,0,0,0
5,1,2020-09-08,3511,1,0,0,0
1,7,2020-09-07,0,0,0,0,0
2,7,2020-09-07,0,0,0,0,0
3,7,2020-09-07,0,0,0,0,0
4,7,2020-09-07,0,0,0,0,0
5,7,2020-09-07,0,0,0,0,0
1,6,2020-09-06,3959,1,0,0,0
2,6,2020-09-06,2551,1,0,0,0
3,6,2020-09-06,3562,1,0,0,0
4,6,2020-09-06,9382,1,0,0,0
5,6,2020-09-06,2187,1,0,0,0
1,5,2020-09-05,4706,1,1,0,1
2,5,2020-09-05,4823,1,1,0,0
3,5,2020-09-05,6564,1,1,0,0
4,5,2020-09-05,10528,1,1,0,0
5,5,2020-09-05,4686,1,1,0,0
1,4,2020-09-04,4346,1,1,0,1
2,4,2020-09-04,5401,1,1,0,0
3,4,2020-09-04,7659,1,1,0,0
4,4,2020-09-04,10522,1,1,0,0
5,4,2020-09-04,5380,1,1,0,0
1,3,2020-09-03,4978,1,1,0,1
2,3,2020-09-03,6615,1,1,0,0
3,3,2020-09-03,8659,1,1,0,0
4,3,2020-09-03,10729,1,1,0,0
5,3,2020-09-03,5884,1,1,0,0
1,2,2020-09-02,5008,1,1,0,1
2,2,2020-09-02,6422,1,1,0,0
3,2,2020-09-02,8989,1,1,0,0
4,2,2020-09-02,11932,1,1,0,0
5,2,2020-09-02,6226,1,1,0,0
1,1,2020-09-01,5464,1,1,0,1
2,1,2020-09-01,8173,1,1,0,0
3,1,2020-09-01,10679,1,1,0,0
4,1,2020-09-01,15595,1,1,0,0
5,1,2020-09-01,7786,1,1,0,0
1,7,2020-08-31,0,0,0,0,1
2,7,2020-08-31,0,0,0,0,0
3,7,2020-08-31,0,0,0,0,0
4,7,2020-08-31,0,0,0,0,0
5,7,2020-08-31,0,0,0,0,0
1,6,2020-08-30,4094,1,0,0,1
2,6,2020-08-30,2976,1,0,0,0
3,6,2020-08-30,4322,1,0,0,0
4,6,2020-08-30,11930,1,0,0,0
5,6,2020-08-30,2315,1,0,0,0
1,5,2020-08-29,3869,1,0,0,1
2,5,2020-08-29,4318,1,0,0,1
3,5,2020-08-29,6889,1,0,0,0
4,5,2020-08-29,11938,1,0,0,0
5,5,2020-08-29,4860,1,0,0,1
1,4,2020-08-28,3920,1,0,0,1
2,4,2020-08-28,3717,1,0,0,1
3,4,2020-08-28,5452,1,0,0,0
4,4,2020-08-28,9205,1,0,0,0
5,4,2020-08-28,4070,1,0,0,1
1,3,2020-08-27,3148,1,0,0,1
2,3,2020-08-27,5127,1,0,0,1
3,3,2020-08-27,5055,1,0,0,0
4,3,2020-08-27,8718,1,0,0,0
5,3,2020-08-27,4306,1,0,0,1
1,2,2020-08-26,3396,1,0,0,1
